gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
XRCC6	1475100	183	50	93605883	23406663	0	56	12	0	4	103	219756789	4.061066e-01	1
GATA1	823539	NaN	29	58381659	20249775	0	54	18	0	5	79	112007217	4.061738e-01	1
TAF8	490949	186	35	46854864	13396005	0	30	9	0	10	174	291347532	4.063627e-01	1
CLC	1286220	526	26	21994371	5607630	0	19	6	0	3	83	140772282	4.064641e-01	1
ALS2CR8	543912	392	33	109556475	29637363	0	78	13	0	0	13	29637363	4.067747e-01	1
DBT	314135	495	9	72961497	19938240	0	42	11	0	3	53	110283390	4.071172e-01	1
IFITM5	1463610	437	24	18712869	6521466	0	16	2	0	15	174	320860281	4.071595e-01	1
C22orf40	519654	205	31	18795945	5005329	0	11	5	0	4	79	136950786	4.071821e-01	1
CRTC1	1398467	222	29	95205096	30094281	0	57	24	0	9	138	245697270	4.073202e-01	1
C10orf28	247144	581	10	116202555	30904272	0	56	9	0	0	9	30904272	4.073366e-01	1
FKBP14	661477	560	23	32461947	7912989	0	21	1	0	0	1	7912989	4.073561e-01	1
KISS1	557652	370	34	19772088	6708387	0	16	3	0	9	124	201459300	4.076734e-01	1
ARHGEF37	609620	185	37	99691200	29658132	0	65	11	0	1	35	77946057	4.077481e-01	1
PHLDA2	552601	256	34	22077447	6895308	0	15	1	0	3	31	56242452	4.081002e-01	1
TRAPPC6B	314417	166	13	25047414	5919165	0	14	0	0	0	0	5919165	4.082405e-01	1
LGALS9B	384584	413	-6	54207090	14953680	0	39	6	0	6	146	237285825	4.084852e-01	1
M6PR	299430	416	11	41974149	11422950	0	21	3	0	6	114	196890120	4.085762e-01	1
ZNF737	NaN	NaN	NaN	81144483	19979778	0	114	22	0	2	63	69949992	4.086946e-01	1
SOBP	288292	592	36	125465529	39398793	0	65	15	0	0	15	39398793	4.089018e-01	1
YPEL2	1000345	452	16	18588255	4589949	0	12	2	0	5	38	72193044	4.089616e-01	1
HIST2H2BE	798975	560	17	18235182	5628399	0	47	9	0	2	36	18920559	4.093118e-01	1
TAS2R46	371136	676	4	45255651	12689859	0	92	15	0	0	15	12689859	4.094414e-01	1
RTF1	820644	237	37	109556475	27705846	0	58	15	0	3	33	86980572	4.094950e-01	1
NHEDC2	350752	454	26	79441425	23863581	0	52	9	0	4	90	178384941	4.095540e-01	1
SCYL3	181109	624	5	111363378	30758889	0	62	10	0	1	13	37861887	4.098615e-01	1
FETUB	508316	436	45	56553987	16656738	0	66	15	0	2	53	54477087	4.099605e-01	1
IKZF3	1607516	292	26	78444513	18754407	0	90	20	0	5	106	126441672	4.106462e-01	1
CA13	99038	1463	13	39897249	10758342	0	34	9	0	14	243	339967761	4.107212e-01	1
KRTAP2-4	NaN	NaN	NaN	18401334	5836089	0	8	1	0	1	14	29014293	4.114753e-01	1
SOST	1081050	192	35	30592737	9782199	0	27	7	0	2	24	40416474	4.118284e-01	1
ASPN	NaN	NaN	NaN	58257045	14704452	0	49	10	0	2	51	64674666	4.120437e-01	1
SLC30A10	623319	641	-12	69721533	21869757	0	63	11	0	0	11	21869757	4.125311e-01	1
AURKAIP1	1736268	273	28	28993524	9325281	0	22	3	0	11	144	267130878	4.126332e-01	1
SELENBP1	1322568	174	42	71175363	20104392	0	57	17	0	2	34	60188562	4.126791e-01	1
RSPH6A	906385	203	41	105714210	29741208	0	100	25	0	3	101	118757142	4.127866e-01	1
FAM48B2	644763	NaN	34	115724868	37114203	0	50	11	0	4	41	122225565	4.129390e-01	1
TARDBP	702484	307	33	62182386	16635969	0	26	3	0	0	3	16635969	4.130165e-01	1
ZNF124	374414	704	-12	44674119	10280655	0	29	5	0	5	70	107168040	4.133198e-01	1
HOXC6	1185281	279	54	34621923	9740661	0	39	9	0	12	190	226818249	4.135244e-01	1
C14orf38	NaN	NaN	NaN	124593231	28806603	0	69	11	0	1	24	51984807	4.140318e-01	1
ZNF527	228816	939	-63	93481269	21537453	0	95	15	0	5	116	127147818	4.141237e-01	1
SUN3	147364	445	21	55847841	13811385	0	48	8	0	3	21	41704152	4.144826e-01	1
TADA3	953772	264	43	64529283	18525948	0	40	11	0	20	312	586890402	4.146233e-01	1
GORASP2	414976	406	36	65900037	21018228	0	38	6	0	0	6	21018228	4.146251e-01	1
STARD5	245396	787	28	32441178	8930670	0	24	2	0	0	2	8930670	4.149400e-01	1
ZADH2	73586	993	4	53251716	17653650	0	36	6	0	0	6	17653650	4.152098e-01	1
MLEC	1741363	349	42	42971061	12793704	0	35	11	0	1	20	30966579	4.152297e-01	1
NIPSNAP3B	194451	718	-21	37799580	9927582	0	32	7	0	1	11	19959009	4.153221e-01	1
WDR74	2342595	181	71	58028586	16989042	0	23	3	0	2	20	67997706	4.153427e-01	1
DSG3	275713	450	-18	147189903	43469517	0	173	34	0	2	53	64113903	4.154182e-01	1
SRPX2	190839	NaN	23	69991530	19356708	0	52	8	0	0	8	19356708	4.154652e-01	1
SLC25A39	1036092	172	39	53521713	16511355	0	39	9	0	1	25	42223377	4.155241e-01	1
TTPAL	781823	276	46	50032521	15078294	0	37	6	0	1	17	34788075	4.159979e-01	1
KRTAP12-1	819099	391	35	13998306	4257645	0	25	4	0	2	61	48454077	4.162669e-01	1
RGAG1	100181	NaN	21	195207831	64923894	0	151	39	0	3	70	130948545	4.162987e-01	1
ZNF528	548808	989	-53	95288172	23282049	0	66	15	0	1	23	48474846	4.168125e-01	1
NQO2	430294	268	42	35473452	9387588	0	23	1	0	3	38	76575303	4.174508e-01	1
PURG	339429	549	-11	56180145	15659826	0	44	10	0	3	36	66938487	4.175042e-01	1
CNPY2	2869106	184	52	27996612	7456071	0	24	4	0	24	508	840583737	4.178052e-01	1
ABCC4	200377	596	30	202248522	56013993	0	159	33	0	0	33	56013993	4.183975e-01	1
C1R	2459343	195	45	90220536	24362037	0	74	16	0	13	183	276414621	4.184252e-01	1
GAL3ST2	598219	487	29	56616294	18712869	0	31	7	0	1	19	43033368	4.185655e-01	1
HIST1H4K	267617	634	32	14517531	5046867	0	14	4	0	12	108	128518572	4.186424e-01	1
ATG3	302697	636	41	49679448	11942175	0	29	4	0	1	5	16905966	4.186931e-01	1
GNL3	1217701	272	47	85651356	21142842	0	37	9	0	4	34	89182086	4.190096e-01	1
FAM19A2	136152	930	-44	20395158	5213019	0	40	7	0	2	31	20208237	4.190443e-01	1
PHF20L1	195342	773	-4	161208978	40042632	0	39	5	0	0	5	40042632	4.191126e-01	1
MT1M	653985	187	28	9927582	2159976	0	10	3	0	7	27	40624164	4.191875e-01	1
CCDC83	361760	380	3	70012299	15909054	0	45	8	0	6	97	183992571	4.193908e-01	1
C3orf26	267848	573	10	44674119	10779111	0	31	6	0	5	69	140813820	4.196095e-01	1
BBS5	370890	418	22	53500944	13292160	0	29	2	0	2	15	42098763	4.200309e-01	1
SPATA17	87153	966	-21	56595525	13686771	0	70	16	0	3	113	94249722	4.200650e-01	1
CCDC69	916138	407	56	45671031	11838330	0	32	7	0	3	31	60811632	4.200806e-01	1
GIMAP7	563029	671	24	45089499	11422950	0	93	17	0	2	48	35244993	4.203028e-01	1
ZFP82	714733	758	-61	81186021	19439784	0	72	9	0	0	9	19439784	4.210282e-01	1
PLAUR	441738	209	6	55120926	15036756	0	49	6	0	5	47	79441425	4.212192e-01	1
TGM3	555761	399	27	104073459	28765065	0	126	33	0	1	57	60936246	4.213831e-01	1
EVI2B	NaN	NaN	NaN	64695435	19481322	0	42	7	0	1	20	42659526	4.218234e-01	1
ZNF24	306655	499	43	54830160	14891373	0	27	5	0	2	10	32794251	4.219977e-01	1
UGP2	312741	380	10	76492227	20893614	0	44	7	0	6	102	225759030	4.224782e-01	1
LMO2	748742	394	32	33334245	10031427	0	27	5	0	34	630	1126884402	4.225893e-01	1
STAM	488136	364	7	82847541	21516684	0	59	9	0	1	32	61725468	4.227016e-01	1
MAN2B2	501896	278	33	148498350	44902578	0	125	31	0	21	279	451891902	4.228670e-01	1
ATG10	156562	717	25	34559616	8494521	0	20	5	0	3	58	116514090	4.234071e-01	1
SENP8	1132082	352	26	31942722	8120679	0	21	3	0	6	52	93751266	4.234104e-01	1
SLC30A3	1238919	230	39	56138607	18318258	0	61	18	0	7	196	233796633	4.234445e-01	1
ZNF678	606105	575	-6	88434402	20914383	0	72	15	0	14	317	432992112	4.235098e-01	1
SCGB1D1	2778889	450	53	13728309	3904572	0	18	1	0	7	67	82390623	4.236858e-01	1
PDE4D	91124	682	10	138134619	37384200	0	68	12	0	0	12	37384200	4.238063e-01	1
TMEM198	548994	487	35	49970214	18505179	0	45	11	0	6	192	261294789	4.238645e-01	1
HIAT1	292450	530	4	73127649	21392070	0	43	7	0	1	22	46979478	4.240631e-01	1
ABCE1	189309	1139	32	93003582	23572815	0	43	6	0	0	6	23572815	4.240782e-01	1
SEPHS1	246468	433	33	59025498	16428279	0	34	4	0	0	4	16428279	4.241382e-01	1
OR52K2	264090	862	-7	44757195	14372148	0	68	17	0	1	34	33728856	4.246484e-01	1
REP15	346550	376	-4	34912689	9512202	0	12	0	0	0	0	9512202	4.247634e-01	1
FTH1	2389859	185	53	28183533	6957615	0	19	3	0	31	408	672500220	4.249164e-01	1
AGXT2L1	104349	499	21	77198373	19502091	0	56	11	0	6	91	168851970	4.252833e-01	1
TBPL1	102500	359	6	28785834	7663761	0	29	3	0	0	3	7663761	4.253048e-01	1
SNRPD3	480889	194	48	19169787	5316864	0	16	4	0	12	172	286217589	4.255531e-01	1
EDDM3B	956361	577	8	22825131	5088405	0	30	4	0	13	415	373987383	4.258111e-01	1
TLN1	1062287	163	43	375005064	114104886	0	196	48	0	1	69	163908948	4.263733e-01	1
ZYG11B	652910	232	28	111944910	30551199	0	58	11	0	1	15	47893314	4.263817e-01	1
RAMP2	1633092	190	33	26148171	7622223	0	19	5	0	31	384	644108997	4.276693e-01	1
KRTAP13-1	4608	1035	-69	24839724	7622223	0	69	17	0	8	145	68516931	4.276847e-01	1
S100A8	1140044	401	32	14787528	3406116	0	22	2	0	2	22	23240511	4.279773e-01	1
TEX12	389593	362	2	19356708	4818408	0	11	2	0	3	26	62888532	4.283703e-01	1
RAB5B	2080397	229	31	33043479	8577597	0	27	6	0	2	38	51424044	4.285407e-01	1
OR5T3	10317	969	-43	49347144	14330610	0	109	29	0	8	306	178696476	4.285749e-01	1
ABCA5	52620	314	-50	252904113	63677754	0	128	25	0	0	25	63677754	4.287164e-01	1
GHRH	787991	404	44	16864428	4382259	0	16	5	0	4	67	99151206	4.288555e-01	1
MED9	915530	220	-3	21745143	6106086	0	15	5	0	4	72	94665102	4.291003e-01	1
HMGXB3	NaN	NaN	NaN	189807891	56616294	0	50	8	0	0	8	56616294	4.296302e-01	1
DZIP1	229772	438	45	133939281	33043479	0	104	24	0	9	160	260318646	4.297930e-01	1
DHX30	843941	197	34	175082670	54207090	0	133	33	0	8	149	248210319	4.302776e-01	1
ATP1A1	616485	464	18	154729050	43033368	0	89	15	0	1	25	56720139	4.304340e-01	1
C14orf119	1261207	185	41	20519772	6023010	0	13	2	0	50	732	1258559862	4.305969e-01	1
CETN3	83403	824	19	26584320	5815320	0	17	1	0	3	33	61060860	4.307080e-01	1
SLC25A12	443171	185	35	102370401	28910448	0	70	13	0	0	13	28910448	4.308748e-01	1
TINF2	915114	220	38	66336186	20270544	0	32	5	0	0	5	20270544	4.309088e-01	1
SH3BGR	294735	503	5	37031127	9449895	0	37	9	0	9	192	211926876	4.309299e-01	1
DHODH	438866	372	19	57447054	18692100	0	42	9	0	18	292	537813255	4.310827e-01	1
SHC4	398758	314	9	94312029	26376630	0	59	14	0	13	172	301462035	4.313587e-01	1
PBX4	818567	284	-1	55619382	16282896	0	30	4	0	12	164	339137001	4.313708e-01	1
BCL7C	1546514	207	48	31818108	10301424	0	26	5	0	6	65	86461347	4.321860e-01	1
EPAS1	375634	213	28	131114697	35431914	0	85	15	0	0	15	35431914	4.325153e-01	1
CLTB	576954	347	45	35182686	9055284	0	15	0	0	1	2	14102151	4.325561e-01	1
MKKS	166085	252	-14	83200614	24403575	0	50	7	0	0	7	24403575	4.329818e-01	1
ATF2	347113	641	24	75806850	21765912	0	55	13	0	7	124	216952974	4.342280e-01	1
IFNA6	232155	466	-14	27892767	7497609	0	26	5	0	12	139	192134019	4.343977e-01	1
ZNHIT1	1022626	258	39	23365125	6604542	0	27	6	0	5	71	88725168	4.344610e-01	1
NR3C1	138106	270	41	118092534	32628099	0	77	18	0	3	51	98112756	4.345403e-01	1
PSG2	263820	178	-32	49741755	14434455	0	92	26	0	4	252	186422544	4.346076e-01	1
QRFPR	268761	809	-2	64321593	17674419	0	72	19	0	5	125	130304706	4.346870e-01	1
RINT1	454408	172	36	120190203	31527342	0	63	15	0	2	31	66315417	4.347548e-01	1
ZNF136	1114898	721	-14	82079088	19917471	0	49	6	0	0	6	19917471	4.348818e-01	1
MICALCL	445785	318	-1	101975790	30115050	0	76	20	0	7	199	275376171	4.352587e-01	1
PDCD6	935283	530	28	29761977	7497609	0	26	6	0	35	596	705398316	4.352593e-01	1
YBX2	1782958	316	21	52358649	17985954	0	27	10	0	3	29	70531524	4.357594e-01	1
HIGD1C	569122	220	40	14870604	3883803	0	8	0	0	6	74	131467770	4.361930e-01	1
ABHD14B	1045639	224	36	30218895	9969120	0	16	2	0	9	53	116804856	4.361973e-01	1
FSIP2	44989	953	4	1040547669	272946198	0	172	36	0	0	36	272946198	4.362746e-01	1
PRSS48	203766	298	16	48287925	14081382	0	33	4	0	1	6	17383653	4.365605e-01	1
CCR7	1130946	203	25	55245540	16220589	0	47	13	0	2	37	49534065	4.366084e-01	1
TXNL1	82448	867	15	44923347	11028339	0	22	3	0	1	9	24465882	4.367645e-01	1
JMJD6	827288	206	22	62763918	16428279	0	32	5	0	4	20	60209331	4.369467e-01	1
MKL2	185822	323	12	154770588	45234882	0	83	15	0	1	22	55411692	4.369990e-01	1
RASL11A	284055	265	46	35494221	10675266	0	25	6	0	33	593	805401051	4.374049e-01	1
NOL9	636407	203	41	103595772	30675813	0	72	19	0	5	86	163597413	4.374112e-01	1
PSG6	282702	238	-37	66315417	19107480	0	103	19	0	0	19	19107480	4.374820e-01	1
STAM2	394536	218	24	80832948	20727462	0	45	8	0	1	10	31423497	4.380345e-01	1
CUL9	1308754	363	35	370934340	109701858	0	215	46	0	4	80	181811826	4.381397e-01	1
GPR85	110068	954	-8	53210178	16137513	0	45	7	0	0	7	16137513	4.385546e-01	1
ACPT	652250	593	27	61143936	21288225	0	67	17	0	1	27	36013446	4.385647e-01	1
GPR6	209151	624	13	49409451	18567486	0	59	16	0	2	36	45920259	4.385776e-01	1
PPBP	230379	408	2	19211325	5524554	0	20	6	0	12	243	333903213	4.388684e-01	1
ZBTB45	2673870	276	11	71050749	25026645	0	52	18	0	11	163	280526883	4.396372e-01	1
ZNF114	1052191	391	32	63075453	15805209	0	51	11	0	5	90	140190750	4.396630e-01	1
MVP	NaN	NaN	NaN	130013940	40956468	0	94	18	0	1	31	64134672	4.401813e-01	1
BTG2	574553	420	26	23323587	6770694	0	29	9	0	3	56	66440031	4.405793e-01	1
CRYGS	676664	501	35	27373542	6708387	0	18	1	0	10	141	303289707	4.405935e-01	1
SPRY1	98850	613	21	47000247	13063701	0	33	3	0	7	105	196848582	4.406363e-01	1
NAA35	320125	381	21	114478728	26708934	0	54	8	0	0	8	26708934	4.407213e-01	1
C15orf24	409752	384	1	35930370	10612959	0	26	4	0	2	38	57114750	4.411650e-01	1
HEPN1	175852	743	14	12959856	3676113	0	12	2	0	8	191	246652644	4.414067e-01	1
UFM1	126181	926	-9	13562157	3759189	0	8	0	0	1	12	39793404	4.415831e-01	1
NGEF	404109	215	33	112796439	30385047	0	119	21	0	0	21	30385047	4.416885e-01	1
RMI1	458954	343	14	92463588	24798186	0	59	10	0	2	46	92878968	4.419120e-01	1
H2AFV	1200579	164	55	20457465	6023010	0	20	5	0	6	230	299032062	4.423048e-01	1
TLR10	304012	437	42	120210972	31818108	0	81	15	0	1	16	36781899	4.424117e-01	1
DNAJC12	286530	441	-5	32025798	7726068	0	23	2	0	2	24	44009511	4.424722e-01	1
FAM168B	461529	331	16	29014293	9117591	0	15	1	0	0	1	9117591	4.426684e-01	1
ZNF221	464210	419	-38	94291260	22222830	0	57	12	0	7	90	182102592	4.428351e-01	1
CDR2	483001	235	50	67810785	18235182	0	51	6	0	1	24	47415627	4.432048e-01	1
SLC3A1	433205	522	29	104260380	26335092	0	65	15	0	3	67	132277761	4.439039e-01	1
CCDC148	133882	759	-5	95537400	21475146	0	73	12	0	1	18	34435002	4.439824e-01	1
FBXO38	82911	459	1	180171075	47311782	0	134	25	0	1	41	75869157	4.440206e-01	1
CPSF6	758784	353	3	80147571	25275873	0	60	9	0	7	85	151115244	4.440856e-01	1
ABL1	505506	211	29	171032715	51590196	0	120	30	0	0	30	51590196	4.443220e-01	1
SOX18	1152034	208	48	53127102	19086711	0	23	3	0	0	3	19086711	4.443996e-01	1
SLC45A2	268032	863	8	78569127	23240511	0	64	12	0	0	12	23240511	4.444713e-01	1
FAM131B	379715	379	29	53957862	15015987	0	59	11	0	5	196	250100298	4.450055e-01	1
NCAPH2	1075525	207	42	94831254	25670484	0	46	8	0	3	38	96638157	4.450295e-01	1
HIST1H1B	228884	634	40	32212719	10467576	0	63	25	0	4	59	35286531	4.451924e-01	1
C6orf211	336608	468	30	66793104	16822890	0	34	6	0	1	11	34704999	4.452316e-01	1
EIF2C3	966499	282	25	129370101	36054984	0	93	17	0	0	17	36054984	4.453682e-01	1
SELPLG	448698	280	40	55889379	19938240	0	55	13	0	13	226	335543964	4.456964e-01	1
MICA	NaN	NaN	NaN	57550899	15846747	0	76	15	0	2	56	65816961	4.460698e-01	1
GYG1	356219	442	8	58173969	12793704	0	29	3	0	0	3	12793704	4.461615e-01	1
TSGA13	278944	433	9	42451836	10633728	0	30	10	0	4	63	106212666	4.461979e-01	1
CHMP4C	158801	681	12	35556528	9179898	0	30	5	0	16	271	389543364	4.463255e-01	1
CNOT6L	152352	493	18	84758289	22035909	0	45	7	0	6	53	123700164	4.467514e-01	1
NCR2	338294	510	40	40520319	12502938	0	47	9	0	12	220	269934693	4.467713e-01	1
CFHR3	200038	941	-27	50551746	12689859	0	90	17	0	3	253	188000988	4.468021e-01	1
MYL12B	551966	328	55	26875086	6209931	0	14	0	0	2	7	28349685	4.468468e-01	1
TXNIP	739922	172	39	58838577	16179051	0	58	19	0	1	41	48640998	4.469554e-01	1
ZNF483	437885	309	22	114437190	29055831	0	80	15	0	3	41	79919112	4.469735e-01	1
C20orf29	740484	241	42	28308147	9761430	0	24	6	0	1	21	35473452	4.470201e-01	1
SLC30A6	387408	276	25	70033068	19689012	0	44	7	0	0	7	19689012	4.474502e-01	1
RAPGEF4	397338	345	16	156805950	40707240	0	88	14	0	0	14	40707240	4.475852e-01	1
HIST1H3I	228884	634	40	19335939	6521466	0	41	9	0	5	68	41807997	4.476267e-01	1
MGAM	196155	846	-7	283413774	75599160	0	69	11	0	0	11	75599160	4.479298e-01	1
S100A3	1454773	186	26	15659826	3904572	0	14	4	0	10	156	214813767	4.480464e-01	1
C14orf147	517820	249	16	10966032	2866122	0	8	1	0	38	486	872090310	4.481957e-01	1
PARD3	139914	776	0	206464629	55349385	0	161	31	0	3	104	156556722	4.482429e-01	1
USP6	1391000	384	20	214045314	56117838	0	233	38	0	6	121	172985001	4.482436e-01	1
GRHL3	893155	198	22	93834342	24860493	0	66	13	0	5	34	73044573	4.485167e-01	1
INO80	950881	181	41	236600448	63158529	0	133	22	0	3	55	120854811	4.485917e-01	1
ALS2CR12	554245	411	31	71071518	15784440	0	58	10	0	17	241	357995253	4.489143e-01	1
WTAP	643775	604	19	60479328	15597519	0	38	7	0	3	21	40769547	4.490526e-01	1
GTF2B	284162	537	1	47477934	13271391	0	26	3	0	0	3	13271391	4.491917e-01	1
SLMAP	788284	196	35	125818602	30945810	0	72	17	0	1	22	48474846	4.494622e-01	1
GADD45A	446714	228	-7	24818955	6957615	0	12	0	0	1	1	9844506	4.504004e-01	1
SPHAR	285692	361	9	9678354	2284590	0	7	0	0	39	585	954210936	4.504162e-01	1
MNS1	211810	681	12	79046814	15909054	0	44	4	0	1	11	26085864	4.508204e-01	1
OR2H1	404210	854	21	44653350	14600607	0	46	14	0	20	356	443875068	4.513925e-01	1
CLEC7A	396940	445	-1	40644933	9200667	0	23	1	0	0	1	9200667	4.514225e-01	1
NGFRAP1	448080	NaN	32	17092887	4091493	0	21	6	0	2	20	23510508	4.516012e-01	1
ZIC5	323784	500	35	92733585	31631187	0	53	15	0	5	56	118528683	4.518901e-01	1
TNP1	261601	642	23	8764518	2076900	0	12	3	0	4	55	53500944	4.519858e-01	1
EMID1	854820	251	51	65671578	20935152	0	58	10	0	11	177	310538088	4.521017e-01	1
C20orf112	677178	310	61	64591590	18837483	0	47	10	0	10	142	234461241	4.522869e-01	1
ZFR	386475	357	27	160087452	45712569	0	120	25	0	9	231	338306241	4.524028e-01	1
FBXL12	1069900	579	-26	45982566	15639057	0	29	8	0	2	10	25005876	4.528761e-01	1
ZNF667	135115	713	-50	92525895	22679748	0	101	20	0	2	43	59212419	4.531184e-01	1
ZDHHC1	1115833	153	42	71154594	22181292	0	41	9	0	1	16	41953380	4.534190e-01	1
PRC1	753718	413	31	95537400	24029733	0	46	11	0	3	49	133129290	4.534543e-01	1
KIAA1370	421095	345	21	161769741	42472605	0	90	17	0	0	17	42472605	4.539843e-01	1
WDR35	482678	390	24	181666443	46003335	0	101	18	0	4	59	124946304	4.540485e-01	1
PLSCR4	119025	361	-10	50572515	13105239	0	37	4	0	0	4	13105239	4.541461e-01	1
COG5	492317	753	18	130138554	36158829	0	88	14	0	1	27	53791710	4.542023e-01	1
YTHDC1	126481	485	0	111882603	28183533	0	95	21	0	1	28	43386441	4.542713e-01	1
ZNF574	886688	438	31	125901678	42015687	0	79	17	0	0	17	42015687	4.543979e-01	1
ATXN1L	NaN	NaN	NaN	96679695	32295795	0	33	5	0	0	5	32295795	4.556007e-01	1
SLC4A10	229857	820	0	174251910	46813326	0	190	33	0	1	53	65796192	4.559573e-01	1
MAN2C1	814680	296	43	155227506	45712569	0	85	14	0	2	28	72026892	4.565485e-01	1
SHOX2	162819	946	-8	51569427	16220589	0	27	6	0	1	8	29533518	4.567290e-01	1
AGFG2	1651125	242	60	70573062	22264368	0	57	16	0	14	202	310413474	4.567372e-01	1
CPEB4	164298	381	43	108642639	30052743	0	65	15	0	11	122	239695029	4.568177e-01	1
KIAA0776	105478	1376	-1	121747878	31465035	0	67	11	0	0	11	31465035	4.569846e-01	1
DYM	241451	414	57	102038097	27186621	0	58	9	0	1	14	40458012	4.571260e-01	1
OR4C13	11675	1171	-40	45151806	13042932	0	99	22	0	3	136	80853717	4.574190e-01	1
SREBF2	1336623	243	62	166214307	51735579	0	114	28	0	0	28	51735579	4.575079e-01	1
HMGB4	131426	852	9	27871998	7206843	0	29	7	0	10	219	249373383	4.580037e-01	1
MINPP1	470910	190	25	74830707	19626705	0	27	3	0	0	3	19626705	4.583174e-01	1
ELOVL1	1088321	252	27	42846447	11236029	0	27	3	0	8	73	159464382	4.583658e-01	1
CCDC51	1401411	263	32	59108574	18650562	0	38	7	0	1	7	20872845	4.584833e-01	1
MFAP1	788307	250	36	67644633	16594431	0	52	9	0	0	9	16594431	4.585348e-01	1
GPM6A	123418	931	-23	42867216	11402181	0	61	11	0	2	41	39959556	4.587387e-01	1
SKAP2	1041630	540	14	57633975	12648321	0	41	4	0	0	4	12648321	4.587390e-01	1
TPPP2	971417	320	12	25982019	6853770	0	26	2	0	0	2	6853770	4.589316e-01	1
OR4D2	851306	401	14	43573362	13935999	0	57	13	0	6	161	163098957	4.589609e-01	1
KIF25	142012	702	-17	56367066	17715957	0	76	20	0	1	41	41184927	4.601262e-01	1
GNA15	908206	241	21	56242452	15348291	0	52	10	0	14	180	276186162	4.601595e-01	1
MED15	474817	286	44	119068677	32773482	0	85	23	0	0	23	32773482	4.602461e-01	1
NEK4	1205825	272	48	126337827	34788075	0	59	10	0	0	10	34788075	4.604064e-01	1
C2orf56	488101	253	42	66502338	18484410	0	31	4	0	1	17	57363978	4.609438e-01	1
FECH	304947	352	38	65297736	17570574	0	34	9	0	12	128	243018069	4.610180e-01	1
FAM118A	461688	277	26	54394011	14517531	0	45	6	0	3	30	55847841	4.614595e-01	1
SLC25A45	4112809	242	50	42431067	13084470	0	28	6	0	18	260	546473928	4.617225e-01	1
DDX59	371965	276	13	92359743	25275873	0	49	11	0	4	40	88829013	4.619573e-01	1
GAPVD1	954577	218	46	223682130	60936246	0	120	23	0	0	23	60936246	4.620688e-01	1
HELT	335039	582	29	46979478	15015987	0	34	11	0	11	173	301981260	4.622069e-01	1
MR1	201966	253	23	51444813	13852923	0	31	9	0	3	24	56553987	4.622239e-01	1
TMEM109	794900	522	47	33915777	12440631	0	30	6	0	5	103	139733832	4.623702e-01	1
ZMYND19	1315685	404	41	34455771	9408357	0	17	2	0	0	2	9408357	4.624786e-01	1
EXOG	373229	578	28	55120926	15223677	0	27	4	0	0	4	15223677	4.627758e-01	1
ZNF148	377619	174	43	119193291	30904272	0	87	14	0	4	81	138944610	4.629847e-01	1
MED13	369807	275	3	324224859	89680542	0	166	38	0	4	109	263288613	4.636217e-01	1
RBM5	965735	196	35	126441672	32067336	0	72	15	0	0	15	32067336	4.637424e-01	1
CD209	719851	329	21	60936246	16386741	0	126	28	0	1	46	31921953	4.639116e-01	1
PROS1	79315	1341	-10	103346544	26688165	0	120	20	0	0	20	26688165	4.640060e-01	1
CLRN2	271399	912	37	34040391	10259886	0	38	11	0	4	65	87292107	4.642232e-01	1
FUT3	1217326	294	35	51922500	15992130	0	55	13	0	2	36	47934852	4.645462e-01	1
MRPS22	261288	671	9	54705546	14766759	0	40	5	0	0	5	14766759	4.646744e-01	1
SEMA3C	114018	419	-27	114811032	29990436	0	95	21	0	6	145	228230541	4.650681e-01	1
SOX5	29515	973	-7	115870251	31174269	0	130	22	0	1	37	43282596	4.655077e-01	1
FAM117A	993241	361	26	65401581	21329763	0	49	13	0	8	102	161998200	4.660086e-01	1
G6PC3	916863	198	23	50427132	15680595	0	27	6	0	6	32	81663708	4.661263e-01	1
IER2	1948449	221	41	31215807	10654497	0	18	4	0	13	192	343540029	4.663067e-01	1
PGM3	152280	734	8	82349085	22139754	0	54	8	0	0	8	22139754	4.664485e-01	1
A1CF	113129	613	19	95205096	26792010	0	111	28	0	1	89	107064195	4.670294e-01	1
COX5A	792240	199	45	22492827	6729156	0	16	1	0	1	6	16594431	4.672085e-01	1
ARHGAP20	146681	501	-5	177159570	49139454	0	110	21	0	1	27	62099310	4.680379e-01	1
DPPA3	237142	672	14	24216654	6563004	0	36	7	0	3	47	46564098	4.681031e-01	1
ALB	315782	613	8	94145877	23489739	0	188	42	0	0	42	23489739	4.681663e-01	1
PVRL1	744818	555	30	96845847	28765065	0	54	13	0	0	13	28765065	4.683467e-01	1
BRE	536663	376	27	69513843	18401334	0	51	9	0	5	76	121104039	4.687677e-01	1
NBEA	38939	1070	11	444975825	120086358	0	399	84	0	1	141	182351820	4.688060e-01	1
HIST1H1A	408919	685	43	30571968	10052196	0	29	10	0	1	16	24008964	4.690114e-01	1
ASB11	201763	NaN	43	54227859	15431367	0	33	8	0	13	198	382357290	4.693082e-01	1
PSMB2	1113527	325	34	30675813	8328369	0	12	0	0	0	0	8328369	4.693196e-01	1
POP1	635159	368	44	152652150	42680295	0	82	19	0	2	19	54809391	4.695361e-01	1
VCAM1	277299	899	-6	110054931	30260433	0	105	22	0	4	107	147896049	4.695909e-01	1
